34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:49:41.0 (92543)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
10:49:41.0 (147429)|EXECUTION_STARTED
10:49:41.0 (154263)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002ugfO|VFRemote: CustomerEvangelist invoke(selectPurchased)
10:49:41.0 (169307)|SYSTEM_MODE_ENTER|true
10:49:41.0 (1268395)|HEAP_ALLOCATE|[72]|Bytes:3
10:49:41.0 (1313022)|HEAP_ALLOCATE|[77]|Bytes:152
10:49:41.0 (1327816)|HEAP_ALLOCATE|[342]|Bytes:408
10:49:41.0 (1340449)|HEAP_ALLOCATE|[355]|Bytes:408
10:49:41.0 (1351990)|HEAP_ALLOCATE|[467]|Bytes:48
10:49:41.0 (1376775)|HEAP_ALLOCATE|[139]|Bytes:6
10:49:41.0 (1392657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:176
10:49:41.0 (1411380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
10:49:41.0 (1437953)|METHOD_ENTRY|[1]|01p1H000006LIeu|CustomerEvangelist.CustomerEvangelist()
10:49:41.0 (1446339)|STATEMENT_EXECUTE|[1]
10:49:41.0 (1451039)|STATEMENT_EXECUTE|[1]
10:49:41.0 (1480124)|HEAP_ALLOCATE|[50]|Bytes:5
10:49:41.0 (1501123)|HEAP_ALLOCATE|[56]|Bytes:5
10:49:41.0 (1509299)|HEAP_ALLOCATE|[64]|Bytes:7
10:49:41.0 (1524328)|SYSTEM_MODE_ENTER|false
10:49:41.0 (1538478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:49:41.0 (1545457)|SYSTEM_MODE_EXIT|false
10:49:41.0 (1563338)|METHOD_EXIT|[1]|CustomerEvangelist
10:49:41.0 (1578411)|VARIABLE_SCOPE_BEGIN|[17]|name|String|false|false
10:49:41.0 (1600438)|VARIABLE_ASSIGNMENT|[17]|name|""
10:49:41.0 (1611715)|SYSTEM_MODE_ENTER|false
10:49:41.0 (1617143)|HEAP_ALLOCATE|[18]|Bytes:5
10:49:41.0 (1622427)|STATEMENT_EXECUTE|[17]
10:49:41.0 (1624563)|STATEMENT_EXECUTE|[18]
10:49:41.0 (1627957)|HEAP_ALLOCATE|[18]|Bytes:1
10:49:41.0 (1645385)|HEAP_ALLOCATE|[18]|Bytes:1
10:49:41.0 (1656703)|VARIABLE_ASSIGNMENT|[18]|name|"%"
10:49:41.0 (1661179)|STATEMENT_EXECUTE|[19]
10:49:41.0 (1664248)|HEAP_ALLOCATE|[19]|Bytes:238
10:49:41.0 (1679537)|HEAP_ALLOCATE|[19]|Bytes:4
10:49:41.0 (5146706)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:2|SELECT Name, (SELECT FirstName, LastName FROM Contacts), (SELECT Product__c FROM AccountPurchased__r) FROM Account WHERE (NumberOfEmployees > 10000 AND (Name = 'AXA' OR Name = 'Exxon Mobil' OR Name = 'General Electric' OR Name = 'Apple'))
10:49:41.0 (24166659)|SOQL_EXECUTE_END|[19]|Rows:4
10:49:41.0 (24213546)|HEAP_ALLOCATE|[19]|Bytes:20
10:49:41.0 (24266334)|HEAP_ALLOCATE|[19]|Bytes:1874
10:49:41.0 (24297559)|HEAP_ALLOCATE|[19]|Bytes:20
10:49:41.0 (24316123)|SYSTEM_MODE_EXIT|false
10:49:41.0 (24466601)|CODE_UNIT_FINISHED|VFRemote: CustomerEvangelist invoke(selectPurchased)
10:49:41.0 (26055627)|EXECUTION_FINISHED
