34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:00:00.0 (107799)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
17:00:00.0 (150957)|EXECUTION_STARTED
17:00:00.0 (156547)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002ugfO|VFRemote: CustomerEvangelist invoke(selectPurchased)
17:00:00.0 (181528)|SYSTEM_MODE_ENTER|true
17:00:00.0 (1438127)|HEAP_ALLOCATE|[72]|Bytes:3
17:00:00.0 (1522449)|HEAP_ALLOCATE|[77]|Bytes:152
17:00:00.0 (1556518)|HEAP_ALLOCATE|[342]|Bytes:408
17:00:00.0 (1583198)|HEAP_ALLOCATE|[355]|Bytes:408
17:00:00.0 (1605394)|HEAP_ALLOCATE|[467]|Bytes:48
17:00:00.0 (1651388)|HEAP_ALLOCATE|[139]|Bytes:6
17:00:00.0 (1678003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:176
17:00:00.0 (1710089)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
17:00:00.0 (1754029)|METHOD_ENTRY|[1]|01p1H000006LIeu|CustomerEvangelist.CustomerEvangelist()
17:00:00.0 (1763440)|STATEMENT_EXECUTE|[1]
17:00:00.0 (1771230)|STATEMENT_EXECUTE|[1]
17:00:00.0 (1842881)|HEAP_ALLOCATE|[50]|Bytes:5
17:00:00.0 (1877818)|HEAP_ALLOCATE|[56]|Bytes:5
17:00:00.0 (1889609)|HEAP_ALLOCATE|[64]|Bytes:7
17:00:00.0 (1921248)|SYSTEM_MODE_ENTER|false
17:00:00.0 (1955498)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:00:00.0 (1967708)|SYSTEM_MODE_EXIT|false
17:00:00.0 (1998690)|METHOD_EXIT|[1]|CustomerEvangelist
17:00:00.0 (2019544)|VARIABLE_SCOPE_BEGIN|[17]|name|String|false|false
17:00:00.0 (2084106)|VARIABLE_ASSIGNMENT|[17]|name|""
17:00:00.0 (2107832)|SYSTEM_MODE_ENTER|false
17:00:00.0 (2116412)|HEAP_ALLOCATE|[18]|Bytes:5
17:00:00.0 (2124098)|STATEMENT_EXECUTE|[17]
17:00:00.0 (2126800)|STATEMENT_EXECUTE|[18]
17:00:00.0 (2130966)|HEAP_ALLOCATE|[18]|Bytes:1
17:00:00.0 (2161171)|HEAP_ALLOCATE|[18]|Bytes:1
17:00:00.0 (2177780)|VARIABLE_ASSIGNMENT|[18]|name|"%"
17:00:00.0 (2184990)|STATEMENT_EXECUTE|[19]
17:00:00.0 (2188847)|HEAP_ALLOCATE|[19]|Bytes:141
17:00:00.0 (2217910)|HEAP_ALLOCATE|[19]|Bytes:4
17:00:00.0 (6121717)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:2|SELECT Name, (SELECT FirstName, LastName FROM Contacts), (SELECT Product__c FROM AccountPurchased__r) FROM Account WHERE Name = 'Exxon Mobil'
17:00:00.0 (19055674)|SOQL_EXECUTE_END|[19]|Rows:1
17:00:00.0 (19098788)|HEAP_ALLOCATE|[19]|Bytes:8
17:00:00.0 (19137269)|HEAP_ALLOCATE|[19]|Bytes:676
17:00:00.0 (19182495)|HEAP_ALLOCATE|[19]|Bytes:8
17:00:00.0 (19205608)|SYSTEM_MODE_EXIT|false
17:00:00.0 (19383885)|CODE_UNIT_FINISHED|VFRemote: CustomerEvangelist invoke(selectPurchased)
17:00:00.0 (20972306)|EXECUTION_FINISHED
