34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:04:18.0 (77530)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
14:04:18.0 (120417)|EXECUTION_STARTED
14:04:18.0 (124784)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002Q8fN|VFRemote: potential_Manager invoke(selectPot)
14:04:18.0 (136429)|SYSTEM_MODE_ENTER|true
14:04:18.0 (1208362)|HEAP_ALLOCATE|[72]|Bytes:3
14:04:18.0 (1266832)|HEAP_ALLOCATE|[77]|Bytes:152
14:04:18.0 (1284476)|HEAP_ALLOCATE|[342]|Bytes:408
14:04:18.0 (1301217)|HEAP_ALLOCATE|[355]|Bytes:408
14:04:18.0 (1312537)|HEAP_ALLOCATE|[467]|Bytes:48
14:04:18.0 (1356374)|HEAP_ALLOCATE|[139]|Bytes:6
14:04:18.0 (1371618)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:148
14:04:18.0 (1390188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
14:04:18.0 (1417348)|METHOD_ENTRY|[1]|01p1H000005w2NJ|potential_Manager.potential_Manager()
14:04:18.0 (1424661)|STATEMENT_EXECUTE|[1]
14:04:18.0 (1432160)|STATEMENT_EXECUTE|[1]
14:04:18.0 (1465855)|HEAP_ALLOCATE|[50]|Bytes:5
14:04:18.0 (1489093)|HEAP_ALLOCATE|[56]|Bytes:5
14:04:18.0 (1500516)|HEAP_ALLOCATE|[64]|Bytes:7
14:04:18.0 (1530876)|SYSTEM_MODE_ENTER|false
14:04:18.0 (1545021)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:04:18.0 (1555945)|SYSTEM_MODE_EXIT|false
14:04:18.0 (1583550)|METHOD_EXIT|[1]|potential_Manager
14:04:18.0 (1601278)|VARIABLE_SCOPE_BEGIN|[23]|name|String|false|false
14:04:18.0 (1632763)|VARIABLE_ASSIGNMENT|[23]|name|""
14:04:18.0 (1648824)|SYSTEM_MODE_ENTER|false
14:04:18.0 (1657395)|HEAP_ALLOCATE|[24]|Bytes:5
14:04:18.0 (1664275)|STATEMENT_EXECUTE|[23]
14:04:18.0 (1666874)|STATEMENT_EXECUTE|[24]
14:04:18.0 (1670559)|HEAP_ALLOCATE|[24]|Bytes:1
14:04:18.0 (1696280)|HEAP_ALLOCATE|[24]|Bytes:1
14:04:18.0 (1712938)|VARIABLE_ASSIGNMENT|[24]|name|"%"
14:04:18.0 (1720564)|STATEMENT_EXECUTE|[25]
14:04:18.0 (1724928)|HEAP_ALLOCATE|[25]|Bytes:65
14:04:18.0 (1747586)|HEAP_ALLOCATE|[25]|Bytes:4
14:04:18.0 (2850686)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT product__c, potential__c, probability__c FROM Potential__c
14:04:18.0 (5388989)|SOQL_EXECUTE_END|[25]|Rows:10
14:04:18.0 (5411246)|HEAP_ALLOCATE|[25]|Bytes:44
14:04:18.0 (5449755)|HEAP_ALLOCATE|[25]|Bytes:1568
14:04:18.0 (5475815)|HEAP_ALLOCATE|[25]|Bytes:44
14:04:18.0 (5487834)|SYSTEM_MODE_EXIT|false
14:04:18.0 (5612211)|CODE_UNIT_FINISHED|VFRemote: potential_Manager invoke(selectPot)
14:04:18.0 (6657521)|EXECUTION_FINISHED
