34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:29:22.0 (164089)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
13:29:22.0 (211515)|EXECUTION_STARTED
13:29:22.0 (217044)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002Q8fN|VFRemote: potential_Manager invoke(selectPot)
13:29:22.0 (238503)|SYSTEM_MODE_ENTER|true
13:29:22.0 (703909)|HEAP_ALLOCATE|[72]|Bytes:3
13:29:22.0 (746733)|HEAP_ALLOCATE|[77]|Bytes:152
13:29:22.0 (766261)|HEAP_ALLOCATE|[342]|Bytes:408
13:29:22.0 (789964)|HEAP_ALLOCATE|[355]|Bytes:408
13:29:22.0 (809829)|HEAP_ALLOCATE|[467]|Bytes:48
13:29:22.0 (847149)|HEAP_ALLOCATE|[139]|Bytes:6
13:29:22.0 (948406)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:148
13:29:22.0 (962393)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
13:29:22.0 (978867)|METHOD_ENTRY|[1]|01p1H000005w2NJ|potential_Manager.potential_Manager()
13:29:22.0 (988921)|STATEMENT_EXECUTE|[1]
13:29:22.0 (995925)|STATEMENT_EXECUTE|[1]
13:29:22.0 (1046841)|HEAP_ALLOCATE|[50]|Bytes:5
13:29:22.0 (1076129)|HEAP_ALLOCATE|[56]|Bytes:5
13:29:22.0 (1093163)|HEAP_ALLOCATE|[64]|Bytes:7
13:29:22.0 (1117973)|SYSTEM_MODE_ENTER|false
13:29:22.0 (1130273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
13:29:22.0 (1139427)|SYSTEM_MODE_EXIT|false
13:29:22.0 (1151780)|METHOD_EXIT|[1]|potential_Manager
13:29:22.0 (1164903)|VARIABLE_SCOPE_BEGIN|[23]|name|String|false|false
13:29:22.0 (1198361)|VARIABLE_ASSIGNMENT|[23]|name|""
13:29:22.0 (1215832)|SYSTEM_MODE_ENTER|false
13:29:22.0 (1224693)|HEAP_ALLOCATE|[24]|Bytes:5
13:29:22.0 (1232879)|STATEMENT_EXECUTE|[23]
13:29:22.0 (1235589)|STATEMENT_EXECUTE|[24]
13:29:22.0 (1241101)|HEAP_ALLOCATE|[24]|Bytes:1
13:29:22.0 (1258463)|HEAP_ALLOCATE|[24]|Bytes:1
13:29:22.0 (1275357)|VARIABLE_ASSIGNMENT|[24]|name|"%"
13:29:22.0 (1286878)|STATEMENT_EXECUTE|[25]
13:29:22.0 (1291395)|HEAP_ALLOCATE|[25]|Bytes:65
13:29:22.0 (1315276)|HEAP_ALLOCATE|[25]|Bytes:4
13:29:22.0 (1690930)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT product__c, potential__c, probability__c FROM Potential__c
13:29:22.0 (4599361)|SOQL_EXECUTE_END|[25]|Rows:10
13:29:22.0 (4638990)|HEAP_ALLOCATE|[25]|Bytes:44
13:29:22.0 (4685352)|HEAP_ALLOCATE|[25]|Bytes:1568
13:29:22.0 (4807488)|HEAP_ALLOCATE|[25]|Bytes:44
13:29:22.0 (4830855)|SYSTEM_MODE_EXIT|false
13:29:22.0 (4944871)|CODE_UNIT_FINISHED|VFRemote: potential_Manager invoke(selectPot)
13:29:22.0 (6994927)|EXECUTION_FINISHED
