34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:05:36.0 (63518)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
14:05:36.0 (100118)|EXECUTION_STARTED
14:05:36.0 (103963)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002Q8fN|VFRemote: potential_Manager invoke(selectPot)
14:05:36.0 (116131)|SYSTEM_MODE_ENTER|true
14:05:36.0 (473086)|HEAP_ALLOCATE|[72]|Bytes:3
14:05:36.0 (502392)|HEAP_ALLOCATE|[77]|Bytes:152
14:05:36.0 (515151)|HEAP_ALLOCATE|[342]|Bytes:408
14:05:36.0 (528381)|HEAP_ALLOCATE|[355]|Bytes:408
14:05:36.0 (539812)|HEAP_ALLOCATE|[467]|Bytes:48
14:05:36.0 (562861)|HEAP_ALLOCATE|[139]|Bytes:6
14:05:36.0 (644036)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:148
14:05:36.0 (651522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
14:05:36.0 (662063)|METHOD_ENTRY|[1]|01p1H000005w2NJ|potential_Manager.potential_Manager()
14:05:36.0 (668102)|STATEMENT_EXECUTE|[1]
14:05:36.0 (672868)|STATEMENT_EXECUTE|[1]
14:05:36.0 (707063)|HEAP_ALLOCATE|[50]|Bytes:5
14:05:36.0 (726109)|HEAP_ALLOCATE|[56]|Bytes:5
14:05:36.0 (733495)|HEAP_ALLOCATE|[64]|Bytes:7
14:05:36.0 (747860)|SYSTEM_MODE_ENTER|false
14:05:36.0 (758113)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:05:36.0 (772119)|SYSTEM_MODE_EXIT|false
14:05:36.0 (780772)|METHOD_EXIT|[1]|potential_Manager
14:05:36.0 (789550)|VARIABLE_SCOPE_BEGIN|[23]|name|String|false|false
14:05:36.0 (814180)|VARIABLE_ASSIGNMENT|[23]|name|""
14:05:36.0 (824576)|SYSTEM_MODE_ENTER|false
14:05:36.0 (829152)|HEAP_ALLOCATE|[24]|Bytes:5
14:05:36.0 (834294)|STATEMENT_EXECUTE|[23]
14:05:36.0 (836678)|STATEMENT_EXECUTE|[24]
14:05:36.0 (839179)|HEAP_ALLOCATE|[24]|Bytes:1
14:05:36.0 (851848)|HEAP_ALLOCATE|[24]|Bytes:1
14:05:36.0 (863077)|VARIABLE_ASSIGNMENT|[24]|name|"%"
14:05:36.0 (867695)|STATEMENT_EXECUTE|[25]
14:05:36.0 (870320)|HEAP_ALLOCATE|[25]|Bytes:65
14:05:36.0 (885220)|HEAP_ALLOCATE|[25]|Bytes:4
14:05:36.0 (1080644)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT product__c, potential__c, probability__c FROM Potential__c
14:05:36.0 (3564567)|SOQL_EXECUTE_END|[25]|Rows:10
14:05:36.0 (3596198)|HEAP_ALLOCATE|[25]|Bytes:44
14:05:36.0 (3639774)|HEAP_ALLOCATE|[25]|Bytes:1568
14:05:36.0 (3731720)|HEAP_ALLOCATE|[25]|Bytes:44
14:05:36.0 (3749257)|SYSTEM_MODE_EXIT|false
14:05:36.0 (3855383)|CODE_UNIT_FINISHED|VFRemote: potential_Manager invoke(selectPot)
14:05:36.0 (4959088)|EXECUTION_FINISHED
