34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:32:24.0 (59902)|USER_INFO|[EXTERNAL]|0051H000008yiOQ|pavel@topengineer.io|Pacific Standard Time|GMT-07:00
13:32:24.0 (92249)|EXECUTION_STARTED
13:32:24.0 (96877)|CODE_UNIT_STARTED|[EXTERNAL]|0661H000002Q8fN|VFRemote: potential_Manager invoke(selectPurchased)
13:32:24.0 (108864)|SYSTEM_MODE_ENTER|true
13:32:24.0 (576818)|HEAP_ALLOCATE|[72]|Bytes:3
13:32:24.0 (608112)|HEAP_ALLOCATE|[77]|Bytes:152
13:32:24.0 (623255)|HEAP_ALLOCATE|[342]|Bytes:408
13:32:24.0 (635028)|HEAP_ALLOCATE|[355]|Bytes:408
13:32:24.0 (645364)|HEAP_ALLOCATE|[467]|Bytes:48
13:32:24.0 (669960)|HEAP_ALLOCATE|[139]|Bytes:6
13:32:24.0 (685111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:148
13:32:24.0 (695255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
13:32:24.0 (704575)|METHOD_ENTRY|[1]|01p1H000005w2NJ|potential_Manager.potential_Manager()
13:32:24.0 (717124)|STATEMENT_EXECUTE|[1]
13:32:24.0 (723886)|STATEMENT_EXECUTE|[1]
13:32:24.0 (751898)|HEAP_ALLOCATE|[50]|Bytes:5
13:32:24.0 (773768)|HEAP_ALLOCATE|[56]|Bytes:5
13:32:24.0 (781132)|HEAP_ALLOCATE|[64]|Bytes:7
13:32:24.0 (796882)|SYSTEM_MODE_ENTER|false
13:32:24.0 (808263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
13:32:24.0 (815688)|SYSTEM_MODE_EXIT|false
13:32:24.0 (823143)|METHOD_EXIT|[1]|potential_Manager
13:32:24.0 (834737)|VARIABLE_SCOPE_BEGIN|[32]|name|String|false|false
13:32:24.0 (861191)|VARIABLE_ASSIGNMENT|[32]|name|""
13:32:24.0 (872222)|SYSTEM_MODE_ENTER|false
13:32:24.0 (877479)|HEAP_ALLOCATE|[33]|Bytes:5
13:32:24.0 (883655)|STATEMENT_EXECUTE|[32]
13:32:24.0 (887176)|STATEMENT_EXECUTE|[33]
13:32:24.0 (890256)|HEAP_ALLOCATE|[33]|Bytes:1
13:32:24.0 (904794)|HEAP_ALLOCATE|[33]|Bytes:1
13:32:24.0 (914481)|VARIABLE_ASSIGNMENT|[33]|name|"%"
13:32:24.0 (919561)|STATEMENT_EXECUTE|[34]
13:32:24.0 (922476)|HEAP_ALLOCATE|[34]|Bytes:283
13:32:24.0 (938997)|HEAP_ALLOCATE|[34]|Bytes:4
13:32:24.0 (4156231)|SOQL_EXECUTE_BEGIN|[34]|Aggregations:2|SELECT Name, NumberOfEmployees, BillingAddress, Industry, (SELECT FirstName, LastName FROM Contacts), (SELECT Product__c FROM AccountPurchased__r) FROM Account WHERE (NumberOfEmployees > 10000 AND (Name = 'AXA' OR Name = 'Exxon Mobil' OR Name = 'General Electric' OR Name = 'Apple'))
13:32:24.0 (17584224)|SOQL_EXECUTE_END|[34]|Rows:4
13:32:24.0 (17632833)|HEAP_ALLOCATE|[34]|Bytes:20
13:32:24.0 (17694603)|HEAP_ALLOCATE|[34]|Bytes:2062
13:32:24.0 (17725314)|HEAP_ALLOCATE|[34]|Bytes:20
13:32:24.0 (17743198)|SYSTEM_MODE_EXIT|false
13:32:24.0 (17856719)|CODE_UNIT_FINISHED|VFRemote: potential_Manager invoke(selectPurchased)
13:32:24.0 (19061411)|EXECUTION_FINISHED
